section,url
display_names,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1832214866&single=true&output=csv
institution,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=975979747&single=true&output=csv
contact,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1830005132&single=true&output=csv
ages,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=941580850&single=true&output=csv
schedules,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1751794399&single=true&output=csv
class_size_categories,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1769918962&single=true&output=csv
course_class_size_map,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1611224987&single=true&output=csv
tuition_groups,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=245936570&single=true&output=csv
course_tuition_map,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1715597622&single=true&output=csv
enrollment_steps,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=877763382&single=true&output=csv
policy_absence,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=617824225&single=true&output=csv
policy_refund,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1633580057&single=true&output=csv
common_objections,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1812846466&single=true&output=csv
promotions,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=2038208008&single=true&output=csv
success_stories,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1931325789&single=true&output=csv
course_descriptions,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-ayVCcz-GaTc2eD-lXbbsPZxi6LeECQ1eaN6XnrUMfesvf_2RvFPwghJ8tgqNVvBZ3BL5C7Ik9P4I/pub?gid=1921119721&single=true&output=csv
