key,en,zh-HK,zh-CN,,,
Phone,+852 2537 9519 (Call),+852 2537 9519（電話）,+852 2537 9519（电话）,,,
Phone,+852 5118 2819 (WhatsApp Only),+852 5118 2819（WhatsApp）,+852 5118 2819（WhatsApp）,,,
Email,info@decoders-ls.com,info@decoders-ls.com,info@decoders-ls.com,,,
Address,1/F,Hollywood Centre,233 Hollywood Road Sheung Wan,Hong Kong,香港上環荷李活道233號好利中心1樓,香港上环荷李活道233号好利中心1楼
Facebook,Little Scholars Creative Workshop,Little Scholars Creative Workshop,Little Scholars Creative Workshop,,,
Instagram,Littlescholarscreativeworkshop,Littlescholarscreativeworkshop,Littlescholarscreativeworkshop,,,
WhatsApp,+852 5118 2819,+852 5118 2819,+852 5118 2819,,,
OfficialWebsite,Little Scholars,Little Scholars,Little Scholars,,,
MapLink,Little Scholars Creative Workshop - Google Maps,Little Scholars Creative Workshop - Google Maps,Little Scholars Creative Workshop - Google Maps,,,
