key,en,zh-HK,zh-CN
NotificationRequirement,"If your child cannot attend lesson, please notify us at least four hours before lesson. If we are not informed, the lesson will be charged.",如果您的孩子無法上課，請在課程開始前至少四小時通知我們。如果我們未收到通知，課程將收取費用。,如果您的孩子無法上課，請在課程開始前至少四小時通知我們。如果我們未收到通知，課程將收取費用。
MakeupArrangement,We shall arrange make-up classes within the week of the cancelled lesson(s) – by request or by enforcement.,我們將在家長請假後的一周內安排補課。,我們將在家長請假後的一周內安排補課。
WrittenNotificationRequirement,"We must be informed in advance and in writing (preferably by email/ WhatsApp) of classes to be cancelled, so that we make the necessary arrangements.",請假必須提前以書面形式（透過電子郵件／WhatsApp）通知我們，以便我們做出必要的安排。,請假必須提前以書面形式（透過電子郵件／WhatsApp）通知我們，以便我們做出必要的安排。
MedicalCertificateRequirement,"If students are taking sick leave, please provide a doctor's certificate so that we can arrange make-up classes.",如學生是請病假，請家長提供醫生證明以安排補課。,如學生是請病假，請家長提供醫生證明以安排補課。
NoNoticeMissedClasses,Classes missed without proper notice will not be made-up later and will be charged.,未經適當通知而缺課的課程將不予補課，並將收取費用。,未經適當通知而缺課的課程將不予補課，並將收取費用。
MakeupDeadline,Make-up classes must be taken within the duration of the course and cannot be carried over to the next term.,補課必須在課程期間內完成，不得延續到下學期。,補課必須在課程期間內完成，不得延續到下學期。
InstructorTimeGuarantee,We regret we cannot guarantee a replacement class with the original instructor or requested time.,我們無法保證課程與原定授課老師/時間一致。,我們無法保證課程與原定授課老師/時間一致。
FreeMakeupQuota,Every student is entitled to 2 free make-up lessons for each 8 paid sessions OR 3 free make-up lessons for each 10 paid sessions.,每位學生每 8 堂付費課程可享 2 堂免費補課；或每 10 堂付費課程可享 3 堂免費補課。,每位學生每 8 堂付費課程可享 2 堂免費補課；或每 10 堂付費課程可享 3 堂免費補課。
ExceedingFreeMakeup,"If you exceed the free make-up class quota, you will need to pay an administrative fee of HK$100 for each supplementary class.",如超出免費補課額數，每堂補課需付行政費＄１００元正,如超出免費補課額數，每堂補課需付行政費＄１００元正
ShortTermAbsence,"If your child cannot attend lessons for a period of two weeks or less, and you would like to retain your child's time-slots in the workshop, please inform us in advance and in writing (preferably by email), and whenever possible, we will make special arrangements for your child.",如果您的孩子無法上課兩週或以下，並且您希望保留孩子平時的上課時間，請提前以書面形式（透過電子郵件/WhatsApp）通知我們，我們將盡可能為您的孩子做出特殊安排。,如果您的孩子無法上課兩週或以下，並且您希望保留孩子平時的上課時間，請提前以書面形式（透過電子郵件/WhatsApp）通知我們，我們將盡可能為您的孩子做出特殊安排。
LongTermAbsence,"If your child cannot attend lessons for a period of three weeks or more, your child's time-slot may be released. (Please contact us for further arrangements.)",如果您的孩子無法上課三週或更長時間，您孩子的上課時間可能會被取消。（請聯絡我們以了解進一步安排。）,如果您的孩子無法上課三週或更長時間，您孩子的上課時間可能會被取消。（請聯絡我們以了解進一步安排。）
CourseValidity,Paid courses have the following validity: all courses must be completed within 3 months (counting from the first lesson of a course),付費課程的有效期限：所有課程必須在 3 個月內完成（從課程的第一堂課開始計算）,付費課程的有效期限：所有課程必須在 3 個月內完成（從課程的第一堂課開始計算）
