topic,source_type,stance_score_z
Christian_Orthodoxy,news,0.3484796411481843
Christian_Orthodoxy,podcast,-0.3150352236097138
LGBTQ,news,-0.005828215535322206
LGBTQ,podcast,0.16387027706156965
abortion,news,0.2548839423040462
abortion,podcast,0.5337812332086637
alexandria_ocasio-cortez,news,0.36378538939106525
alexandria_ocasio-cortez,podcast,-0.1734742025672268
benjamin_netanyahu,news,-0.2924135206503128
benjamin_netanyahu,podcast,-0.2836600816993434
bernie_sanders,news,0.5412386780022571
bernie_sanders,podcast,-0.0031403131085217728
bob_menendez,news,-0.10068601349393462
bob_menendez,podcast,0.14560890534708884
caitlin_clark,news,0.8994865778919005
caitlin_clark,podcast,0.7173369549285589
canada,news,-0.11074599534480928
canada,podcast,-0.0060707009812034475
capital_punishment,news,-0.4137762453761468
capital_punishment,podcast,-1.1061786718552262
china,news,-0.1083822652688747
china,podcast,-0.19806583458307384
chuck_schumer,news,-0.07714722659309375
chuck_schumer,podcast,-0.20975790045714893
civil_rights,news,1.0772462070500906
civil_rights,podcast,1.0685626790296983
climate_change,news,0.5494636691762887
climate_change,podcast,0.7646142993108901
communism,news,0.18978964336599408
communism,podcast,-0.4391361566678334
covid-19,news,0.1632367339599518
covid-19,podcast,0.02118560730043976
crypto,news,0.6271789497531559
crypto,podcast,0.0581117995990539
democratic_party,news,0.2193024353292401
democratic_party,podcast,-0.22116275303552707
dictatorship,news,-1.1061786718552262
dictatorship,podcast,-0.6643712916661738
diddy,news,-0.44689246498396595
diddy,podcast,0.03751778641043118
discrimination,news,-0.5661918738463844
discrimination,podcast,-0.09228737629317015
"diversity,_equity_and_inclusion",news,-0.5038857048453642
"diversity,_equity_and_inclusion",podcast,-0.4581945142446161
donald_trump,news,-0.32069965517866367
donald_trump,podcast,-0.3401231418494074
el_salvador,news,0.1764247006607852
el_salvador,podcast,0.2615069392774912
elon_musk,news,-0.02209200991146877
elon_musk,podcast,-0.09188848916768345
environmental_policy,news,-0.37458365519808573
environmental_policy,podcast,0.78377512117572
euthanasia,news,0.39807026545511875
euthanasia,podcast,-0.4581945142446161
family_planning,news,0.2886134820749481
family_planning,podcast,0.5778808744529242
fema,news,0.055451464349160255
fema,podcast,-0.5733677781388608
genocide,news,-0.15081741383958308
